Name,Type,Category,Color,Price,Description,Year,Region,ABV,Images,Quantity,pricedate
A Mano Bianco,Wine,,White,22,This appellation is very special. Its outstanding reds were what first put,2017,Italy,12,https://img.thewhiskyexchange.com/900/wine_man2017.jpg,d,d
A Mano Rosato,Wine,Rose,Red,22,"Rhubarb and rose petals on the nose, and on the palate ripe red fruits with a crisp dry finish - ideal for long summer days –  Dawn Davies MW",2017,Italy,12,https://img.thewhiskyexchange.com/900/wine_man2017v1.jpg,d,d
AA BADENHORST SECATEURS CHENIN BLANC,Wine,,White,32,"A richly aromatic Chenin Blanc loaded with aromas of stone fruit, honey and orange blossom, as well as heady floral notes and hints of melon and mango. Adi Badenhorst is one of South Africa’s best winemakers and has delivered a wine that shows just how good Chenin Blanc can be.",2015,South Africa,13,https://img.thewhiskyexchange.com/900/wine_bad2018.jpg,d,d
AA BADENHORST WHITE BLEND,Wine,,Red,29,"AA Badenhorst White Blend is made with more than 10 varieties including Chenin Blanc, Roussanne, Chardonnay and Semillon, producing a fruit-led wine with a wonderful minerality.",2013,South Africa,14,https://img.thewhiskyexchange.com/900/wine_bad2013.jpg,d,d
ADAMI BOSCO DI GICA PROSECCO,Wine,,White,12,"A half bottle of Adami's Bosco di Gica. This is made predominantly from Glera grapes, with 3-5% Chardonnay; and has notes of apple, peach, blossom and a hint of spice. This is perfect as an aperitif, but can also stand up to light dishes.",2016,Italy,11,https://img.thewhiskyexchange.com/900/spark_ada2.jpg,d,d
ALTA ALELLA DOLC MATARO,Wine,,Red,22,"An absolutely delightful sweet red wine that is perfect as a pairing with Chocolate. Produced organically from Mataro - also known as Monastrell, it is packed with jammy fruit, blueberries, cherry, figs and a hint of orange rind",2015,Spain,15,https://img.thewhiskyexchange.com/900/wine_alt2015v1.jpg,d,d
ALBERT AHRENS BLACK,Wine,,Red,16,"Albert Ahrens is a terroir-driven producer who doesn’t want to talk about the grapes but focus purely on what the land brings to the wine. This is a blend of Southern Rhone varietals, with aromas of cedar wood and spice with a hint of blackcurrant, fig, and violets. The palate is beautifully elegant with silky palate and a cool hint of liquorice.",2016,South Africa,13,https://img.thewhiskyexchange.com/900/wine_ala2015.jpg,d,d
ALDO VIOLA GUARINI COCCINELLA SYRAH,Wine,,Red,17,"Deep black fruit, mulberry, cinnamon and violet on the nose; juicy fruit on the palate supported by sweet balsamic and black olive notes",2016,Italy,14,https://img.thewhiskyexchange.com/900/wine_ald2015.jpg,d,d
ALDO VIOLA KRIMISO CATARATTO,Wine,,White,34,"Passion fruit, clementine, fresh almond, lemon thyme and eucalyptus on the nose. The palate is round and silky with a real purity of fruit and a fresh, dry finish",2013,Italy,13,https://img.thewhiskyexchange.com/900/wine_ald2017.jpg,d,d
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Wine,,White,34,"Passion fruit, clementine, fresh almond, lemon thyme and eucalyptus on the nose. The palate is round and silky with a real purity of fruit and a fresh, dry finish",2013,Italy,13,https://img.thewhiskyexchange.com/900/wine_ald2017.jpg,d,d
ALTA ALELLA LAIETA GRAN RESERVA BRUT NATURE CAVA,Wine,,Red,22,"An organic Gran Reserva cava made from Chardonnay, Pinot Noir and Pansa Blanca. The nose has a lovely toasty aroma, with a hint of mushroom and baked apples. This follows through onto the palate with a good zesty note on the finish",2015,Spain,12,https://img.thewhiskyexchange.com/900/spark_alt1.jpg,d,d
ALTAVIA ROSSESE DI DOLCEACQUA SUPERIORE RISERVA,Wine,,Red,25,"Dolceacqua's signature grape is Rossese, a grape that originated in France as Tibouren. Altavia is one of the top producers of this little-known varietal. On the nose there are notes of tar and savoury spices, with a sprinkle of thyme and rosemary. These flavours come through on the palate, layered on top of dried cherry and Lapsang Souchong with leather and liquorice. A wine for veal chops or a lasagne, either vegetarian or meat-based",2012,Italy,135,https://img.thewhiskyexchange.com/900/wine_alt2012.jpg,d,d
ALTOS LAS HORMIGAS,Wine,,Red,14,"Altos Las Hormigas Malbec Terroir is made from grapes grown in the Uco Valley. This has notes of cherry, plum, fig and violet. This will be an excellent match for beef.",2016,Argentina,135,https://img.thewhiskyexchange.com/900/wine_alt2016.jpg,d,d
ANDRIAN PINOT GRIGIO,Wine,,White,14,"A smooth, refined Pinot Grigio from Cantina Andriano, one of the oldest cooperatives in Italy's Alto Adige. Aromas of pear, white melon and citrus are followed onto the palate, with the long finish displaying spicy apple and tart lemon curd.",2017,Italy,135,https://img.thewhiskyexchange.com/900/wine_and2017.jpg,d,d
ANIELLO BLANCO DE PINOT NOIR,Wine,,White,16,"On the nose, this has notes of apple crumble and a herbaceous note, with mandarin and red fruits on the palate and a hint of nutmeg on the finish",2017,Argentina,130,https://img.thewhiskyexchange.com/900/wine_ani2017v1.jpg,d,d
ANIELLO MAINQUE TROUSSEAU,Wine,,White,16,"Hints of fig and leather with strawberry, black pepper and sandalwood. The palate is divine; cigar box, ripe orchard fruits, autumn leaves and great structure. A wine that will defy expectation.",2015,Argentina,135,https://img.thewhiskyexchange.com/900/wine_ani2015v2.jpg,d,d
rich & rare,Whiskey,Scotch,,9,"The Rich & Rare name appeared on many a whisky bottle long before the New Orleans-based Sazerac Company gained ownership of the brand. It all began with one of the Prohibition era’s most successful Canadian whisky entrepreneurs, Harry Hatch",2018,Canada,400,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_RichRare.png,d,d
Kessler,Whiskey,Bourbon,,19,"Kessler Whiskey is an American brand of blended whiskey started by Julius Kessler in 1888. It is known for the slogan, ""Smooth as Silk"". The brand is currently owned and produced by Beam Suntory",2015,US,400,https://img.thewhiskyexchange.com/900/wine_ani2015v2.jpg,d,d
woodford,Whiskey,Scotch,,25,"Woodford Reserve is a brand of premium small batch Kentucky straight bourbon whiskey produced in Woodford County, Kentucky, by the Brown-Forman Corporation",2016,US,450,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_Woodford.png,d,d
dewar's Scotch,Whiskey,Scotch,,68,"A little while ago, we were approached by Dewar’s Scotch Whisky asking whether we would be interested in writing about their product in a sponsored post. Considering our fondness for Scotch, and Dewar’s presence as the number one selling Scotch in the US, I accepted the proposal contingent upon a personal review of their products, and they happily obliged.",2007,US,450,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_Dewars.png,d,d
CANADIAN CLUB,Whiskey,Scotch,,15,"The legend of Canadian Club began in 1858 and grew to become one of the world's most iconic whiskies. Pouring a medium gold you will find aromas of roasted almond, vanilla and pepper; with spicy vanilla, cornflakes and a faint nutty flavour on a medium weight palate with a long finish.",2015,Canada,400,https://www.lcbo.com/content/dam/lcbo/products/000463.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,d,d
CANADIAN MIST,Whiskey,Scotch,,35,"This blended Canadian whisky from Brown-Forman once claimed the title of America’s best-selling Canadian whisky. Despite competition, it’s remained among the ranks for its relaxed, casual branding and fair oak and vanilla notes.",2014,Canada,400,https://www.lcbo.com/content/dam/lcbo/products/010074.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,d,d
SOUTHERN COMFORT,Whiskey,Scotch,,25,"For many years, Southern Comfort was a flavored liqueur with nary a trace of whiskey. It’s come a long way since Sazerac bought the brand from Brown-Forman in 2016. Today, the whiskey-based liqueur is still flavored with fruit and spice, but has a little more street cred.",2015,US,400,https://www.lcbo.com/content/dam/lcbo/products/491811.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,d,d
BULLEIT BOURBON,Whiskey,Bourbon,,9,"With more rye in its malt bill and more booze in its bonnet, this 90 proof (45 percent ABV) bourbon continues to please American palates in a big way. Currently owned by Diageo, the Bulleit of today launched in 1987, but its history goes back to 1830, when current co-owner Thomas Bulleit’s great-grandfather, Augustus, bottled his first batch.",2018,Canada,450,https://www.lcbo.com/content/dam/lcbo/products/054866.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,d,d
WILD TURKEY BOURBON,Whiskey,Bourbon,,35,"An 81 proof (40.5%ABV) bourbon crafted by Wild Turkey associate distiller Eddie Russell, son of master distiller Jimmy. It's a high rye mash matured in heavily charred casks for big flavour at a more approachable ABV than the 101.",2014,US,405,https://img.thewhiskyexchange.com/900/brbon_wil25.jpg,d,d
JOHNNIE WALKER black,Whiskey,Scotch,,26,A half bottle of Johnnie Walker's massively successful blend. A great mix of whiskies with a hint of smoke to round things off.,2008,US,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
JOHNNIE WALKER red,Whiskey,Scotch,,33,"Johnnie Walker Red Label was launched in its current form by brothers George and Alexander Walker in 1909, though it had existed as Walker's Special Old Highland Red Label for some years previously. ",2007,US,400,https://img.thewhiskyexchange.com/900/blend_joh2.jpg,d,d
JOHNNIE WALKER sweet peat,Whiskey,Scotch,,35,"Too often pitched as opposite extremes on the Scotch whisky flavour spectrum, peat smoke and sweetness can actually work together remarkably well. This fact is exemplified in Sweet Peat from Johnnie Walker, which blends powerful peat and citrus flavours with sweet Speyside character and a luscious sherried note. ",2016,US,408,https://img.thewhiskyexchange.com/900/blend_joh222.jpg,d,d
jack daniel's,Whiskey,Brandy,Fdewars,26,"The fifth edition of Jack Daniel's range of whiskey's honouring the company's master blenders. The fifth edition takes us all the way to the 1970s, and is bottled for the excellently named Frank Bobo. He helped build Jack Daniel's reputations through both the 70s and 80s, helping it to become the worldwide powerhouse it is today.",2016,US,400,https://img.thewhiskyexchange.com/900/brbon_jac183.jpg,d,d
BLACK VELVET,Whiskey,Scotch,,19,"Black Velvet Whisky is a Canadian whisky brand owned by Constellation Brands. It has a smooth taste and is known for its black labeling. Black Velvet was produced at Schenley Industries in Valleyfield, Quebec, Canada",2015,Canada,400,https://img.thewhiskyexchange.com/540/brbon_bla7.jpg,d,d
 EVAN WILLIAMS,Whiskey,Bourbon,,27,"Evan Williams is a brand of Kentucky straight bourbon whiskey bottled in Bardstown, Kentucky, by the Heaven Hill company. The product is aged for a minimum of four years. It has been ranked as one of the world's best selling whiskey brands.",2015,US,400,https://bigbarrel.co.nz/content/images/thumbs/0008288.jpeg,d,d
SEAGRAM’S 7 CROWN,Whiskey,Bourbon,,26,"Seagram's Seven Crown, also called Seagram's Seven, is a blended American whiskey produced by Diageo under the Seagram name. Seagram's beverage division was acquired by Diageo, Pernod Ricard, and The Coca-Cola Company in 2000.",2016,US,400,https://www.haskells.com/media/catalog/product/cache/1/image/816x1200/040ec09b1e35df139433887a97daa66f/1/4/145081_0.jpg,d,d
MAKER’S MARK,Whiskey,Bourbon,,35,"Sweet and spicy, Maker’s Mark arguably became the first “premium” whiskey when it launched in 1958, claiming to be easier drinking than other whiskey brands.",2016,US,400,https://cdn11.bigcommerce.com/s-7a906/images/stencil/750x750/products/1371/12717/makers-mark-bourbon-whisky__70535.1522705427.jpg?c=2&imbypass=on,d,d
jim beam,Whiskey,Scotch,,29,"Jim Beam is a brand of bourbon whiskey produced in Clermont, Kentucky, by Beam Suntory, a subsidiary of Suntory Holdings of Osaka, Japan. It is one of the best-selling brands of bourbon in the world",2016,US,400,https://img.thewhiskyexchange.com/900/brbon_jim1.jpg,d,d
FIREBALL CINNAMON,Whiskey,Scotch,,29,"Despite the fact that Fireball is not technically whiskey, and despite being recalled in Europe in 2014 for an antifreeze-adjacent ingredient scare, Fireball is burned into the top five as the No. 3 whiskey in America.",2016,Canada,400,https://www.haskells.com/media/catalog/product/cache/1/image/816x1200/040ec09b1e35df139433887a97daa66f/1/6/165273_0_1_1.jpg,d,d
CROWN ROYAL,Whiskey,Scotch,,26,"As the name (and its slogan) suggest, Crown Royal is “fit for a king” — and was made for one. The flagship brand, Crown Royal Deluxe, was created in honor of King George VI. Its sales still rule.",2015,Canada,400,https://img.thewhiskyexchange.com/900/brbon_cro1974.jpg,d,d
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,dd
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
JOHNNIE WALKER,Whiskey,Scotch,,26,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,d,d
