name,type,category,color,price,description,year,region,abv,image,quantity,pricedate
Four Roses 130th Anniversary Limited Edition Small Batch Barrel Strength,Whiskey,Bourbon,,20.2,"Bottled at barrel strength, the remarkably balanced 130th Anniversary Limited Edition Small Batch introduces warm aromas of rich vanilla and crème brûlée, mingled with ripe berries. Bright apricot flavors greet the palate, then give way to hints of mint, cinnamon, apple and mellow oak. The finish is very long, with notes of more fruit, vanilla and cinnamon.",2014,Kentucky,54,https://cdn.shopify.com/s/files/1/1580/4729/products/Screen_Shot_2018-11-27_at_12.11.13_PM_2048x2048.png?v=1543349501,1,"20.22,20.23,20.2"
Jameson,Whiskey,Irish Whiskey,,8.52,Smooth and sweet with woody and nutty tones,2018,Ireland,50,https://www.celticwhiskeyshop.com/image/data/Whiskey/Jameson_700ml.jpg,1,"8.5,8.5,8.52"
Suntory Hibiki Japanese Harmony Whisky,Whiskey,Whiskey,,244.39,"Honeylike sweetness, candied orange peel, white chocolate, with hint of Mizunara (Japanese oak)",2009,Japan,43,https://www.youngswines.com/images/sites/youngswines/labels/suntory-suntory-hibiki-harmony-japanese-whiskey_1.jpg,1,"245.91,245.28,244.39"
"Dalmore, 12 year old",Whiskey,Whiskey,,73.03,"Dalmore 12 is aged for the first nine years in American white oak ex-bourbon casks, before half is transferred to ex-oloroso sherry casks for the final three years. The result is a whisky with a combination of sweetness and rich, sherried flavours.",2002,Scotland,60,https://img.thewhiskyexchange.com/540/dlmob.12yov9.jpg,1,"73.36,73.22,73.03"
Red Mountain Style Cabernet Sauvignon,Wine,,Red,170.64,"Red Mountain Style Cabernet Sauvignon$225.00
Sunset Ridge Vineyard, Red Mountain, Washington. The vineyards have high calcium carbonate",2009,US,12,AAAAAAAAAAAAAAAAA,1,"172,171.43,170.64"
A Mano Rosato,Wine,Rose,Red,8.12,"Rhubarb and rose petals on the nose, and on the palate ripe red fruits with a crisp dry finish - ideal for long summer days –  Dawn Davies MW",2017,Italy,12,https://img.thewhiskyexchange.com/900/wine_man2017v1.jpg,1,"8.18,8.14,8.12"
ANIELLO BLANCO DE PINOT NOIR,Wine,,White,2.35,"On the nose, this has notes of apple crumble and a herbaceous note, with mandarin and red fruits on the palate and a hint of nutmeg on the finish",2017,Argentina,130,https://img.thewhiskyexchange.com/900/wine_ani2017v1.jpg,1,"2.36,2.35,2.35"
Angel's Envy Cask Strength Bourbon,Whiskey,Bourbon,,473.18,"Caramel, Sweet Raisins, Cola, Herbal Notes.",2010,Kentucky,64,https://www.bottlesandcases.com/images/sites/bottlesandcases/labels/angel-s-envy-cask-strength-bourbon.jpg,1,"472.38,473.9,473.18"
ALDO VIOLA GUARINI COCCINELLA SYRAH,Wine,,Red,0.08,"Deep black fruit, mulberry, cinnamon and violet on the nose; juicy fruit on the palate supported by sweet balsamic and black olive notes",2016,Italy,14,https://img.thewhiskyexchange.com/900/wine_ald2015.jpg,1,"0.09,0.08,0.08"
jim beam,Whiskey,Scotch,,2.47,"Jim Beam is a brand of bourbon whiskey produced in Clermont, Kentucky, by Beam Suntory, a subsidiary of Suntory Holdings of Osaka, Japan. It is one of the best-selling brands of bourbon in the world",2016,US,400,https://img.thewhiskyexchange.com/900/brbon_jim1.jpg,1,"2.46,2.47,2.47"
ALTAVIA ROSSESE DI DOLCEACQUA SUPERIORE RISERVA,Wine,,Red,20.35,"Dolceacqua''s signature grape is Rossese, a grape that originated in France as Tibouren. Altavia is one of the top producers of this little-known varietal. On the nose there are notes of tar and savoury spices, with a sprinkle of thyme and rosemary. These flavours come through on the palate, layered on top of dried cherry and Lapsang Souchong with leather and liquorice. A wine for veal chops or a lasagne, either vegetarian or meat-based",2012,Italy,135,https://img.thewhiskyexchange.com/900/wine_alt2012.jpg,1,"20.4,20.33,20.35"
FIREBALL CINNAMON,Whiskey,Scotch,,16.95,"Despite the fact that Fireball is not technically whiskey, and despite being recalled in Europe in 2014 for an antifreeze-adjacent ingredient scare, Fireball is burned into the top five as the No. 3 whiskey in America.",2016,Canada,400,https://www.haskells.com/media/catalog/product/cache/1/image/816x1200/040ec09b1e35df139433887a97daa66f/1/6/165273_0_1_1.jpg,1,"17.09,17.02,16.95"
 EVAN WILLIAMS,Whiskey,Bourbon,,23.12,"Evan Williams is a brand of Kentucky straight bourbon whiskey bottled in Bardstown, Kentucky, by the Heaven Hill company. The product is aged for a minimum of four years. It has been ranked as one of the world''s best selling whiskey brands.",2015,US,400,https://bigbarrel.co.nz/content/images/thumbs/0008288.jpeg,1,"23.31,23.22,23.12"
Buchanan’s Scotch Whisky,Whiskey,Scotch,,1497.46,"Popular in the States as well as Latin America, Buchanan’s 12 Year is noted for its honey toast, spice, and fruit flavors.",2009,Argentina,40,https://products1.imgix.drizly.com/ci-buchanans-12-year-scotch-b2b781fc751d75e3.png?auto=format%2Ccompress&fm=jpeg&q=20,1,"1500.27,1504.9,1497.46"
Italian Style Sangiovese,Wine,,Red,191.16,A wine meant for drinking young as well as aged. A lively fresh and fruity wine that is produced from classic red grape styles.,2006,Italy,12,https://winefolly-wpengine.netdna-ssl.com/wp-content/uploads/Sangiovese-Wine-Bottle-WineFolly.jpg,1,"189.93,190.5,191.16"
Eagle Rare 17 Year,Whiskey,Bourbon,,3.01,"THIS DEEP, BURNISHED-GOLD WHISKEY HAS A SOMEWHAT FRAGRANT NOSE AND THE AROMAS DEVELOP AN ALMOST WINE-LIKE CHARACTER, WITH A HINT OF ALMONDS LURKING IN THE BACKDROP. THE BODY IS BIG AND SILKY AND THE PALATE IS FAR SPICIER THAN THE NOSE LEADS YOU TO BELIEVE, BUT THERE ARE ALSO VIOLET NOTES HERE, ALONG WITH A TOUCH OF CARAMEL AND A HINT OF OLD LEATHER. THE FINISH IS VERY LEATHERY AND VERY LONG.",2018,Kentucky,50,https://cdn.shopify.com/s/files/1/0566/6837/products/Eagle_17_grande.png?v=1445874097,1,"3.01,3.02,3.01"
jack daniel's,Whiskey,Brandy,Fdewars,13.33,"The fifth edition of Jack Daniel''s range of whiskey''s honouring the company''s master blenders. The fifth edition takes us all the way to the 1970s, and is bottled for the excellently named Frank Bobo. He helped build Jack Daniel''s reputations through both the 70s and 80s, helping it to become the worldwide powerhouse it is today.",2016,US,400,https://img.thewhiskyexchange.com/900/brbon_jac183.jpg,1,"13.43,13.39,13.33"
Kessler,Whiskey,Bourbon,,8.96,"Kessler Whiskey is an American brand of blended whiskey started by Julius Kessler in 1888. It is known for the slogan, Smooth as Silk. The brand is currently owned and produced by Beam Suntory",2015,Kentucky,46,https://img.thewhiskyexchange.com/900/wine_ani2015v2.jpg,1,"9.03,8.99,8.96"
Bowmore 1989 23 year,Whiskey,Single Malt,,444.08,"Black tea, sweet ash, spine, old chest of drawers, berry bushes, grapefruit peel, orange peel, pineapple, nutmeg, cinnamon, clove, ivy, leather armchair, dark chocolate, dried raspberries",1989,Scotland,50,https://cdn.diffordsguide.com/contrib/bws/2017/10/59db94efee1d9.jpg,1,"443.54,444.16,444.08"
Johnnie Walker Blue Label Scotch Whisky,Whiskey,Scotch,,230.02,"A rich honey sweetness emerges, accompanied by hints of pepper and dried fruits.",2004,Scotland,40,https://www.bottlebuys.com/images/sites/bottlebuys/labels/johnnie-walker-blue-label-scotch.jpg,1,"230.31,231.07,230.02"
Barolo Sant'Orsola,Wine,,Red,176.05,"From the Piemonte region of Italy, it is a world famous wine for its complex and robust",2008,Italy,12,https://media-verticommnetwork1.netdna-ssl.com/wines/sant-orsola-barolo-siglati-1311256-s245_p.png,1,"177.24,176.39,176.05"
Wild Turkey Master's Keep Decades,Whiskey,Bourbon,,12.66,"On the nose is an elegant balance of leather, tobacco, cedar, toasted marshmallow, a hint of grassy rye, and white pepper aromas. The palate is just as refined with nuanced notes of smoky oak, stewed fruits like apple, peach and cherry. Not overpoweringly sweet, with a silky mouthfeel, and a smooth finish.",,Kentucky,52,https://www.lcbo.com/content/dam/lcbo/products/491811.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,1,"12.72,12.7,12.66"
Pappy Van Winkle's 15 Year Old,Whiskey,Bourbon,,1314.84,"complex, rich notes of dried fruits, exotic spices, oak tannins, and a cooked sugary sweetness",,,53,http://whiskyleaks.fr/wp-content/uploads/2014/03/Van-Winkle-15.jpg?v_F=1,1,"1312.2,1315.92,1314.84"
W. & J. Graham's 2016 The Stone Terraces Vintage (Port),Wine,,Red,150.3,generous structure and abundant ripe-fruit tones,2016,Portugal,20,https://images.harrods.com/product/grahams/the-stone-terraces-vintage-port-2015_000000000005733170.jpg?dwn=767px:0px,1,"151.4,150.9,150.3"
Valpolicella,Wine,,Red,377.73,"Valpolicella is a zone of the province of Verona, Italy, east of Lake Garda. The red wine known",2009,Italy,12,https://cdn.shopify.com/s/files/1/1341/5633/products/Untitled_design_be4f6ec1-3d93-4cde-86c3-e3ff854161cf.png?v=1538652177,1,"378.51,378.72,377.73"
The Macallan Private Eye 1961,Whiskey,Single Malt Scotch,,5740.46,"Chocolate, citrus, coal gas, with haylike yet leathery finish",1961,Scotland,40,https://static.whiskybase.com/storage/whiskies/1/1/165/63447-big.jpg,1,"5722.37,5729.4,5740.46"
Kistler 2015 Cuvée Cathleen Kistler Vineyard Chardonnay (Sonoma Valley),Wine,,White,211.13,Bright and inviting in fennel and dried apricot,2015,California,14,https://cdn.shoplightspeed.com/shops/607646/files/9695882/800x1024x2/chardonnay-kistler-vineyard-cuvee-cathleen-kistler.jpg,1,"211.22,211.78,211.13"
Malbec Syrah,Wine,,Red,279.7,"Blackberry & dark plum, with notes of vanilla, licorice, spice, & smooth tannins to finish.",2010,French,12,https://cdn.aldi-digital.co.uk//Vignobles-Roussellet-Malbec-A.jpg?o=VpEh%4035PuFfB3Vjs6Bkmzayb28Uj&V=qD27,1,"281.68,280.73,279.7"
ANIELLO MAINQUE TROUSSEAU,Wine,,White,1.67,"Hints of fig and leather with strawberry, black pepper and sandalwood. The palate is divine; cigar box, ripe orchard fruits, autumn leaves and great structure. A wine that will defy expectation.",2015,Argentina,135,https://img.thewhiskyexchange.com/900/wine_ani2015v2.jpg,1,"1.69,1.68,1.67"
Barossa Shiraz,Wine,,Red,107.95,"The Barossa Shiraz is opaque purple-colored. Aromas of pencil lead, pepper, violets,",2011,Australia,13,https://www.ocado.com/productImages/368/36839011_0_640x640.jpg?identifier=5eb786402b1a41c843e7887b04510f5f,1,"107.77,107.49,107.95"
Aldo Viola Krimiso Cataratto,Wine,,White,25.39,"Passion fruit, clementine, fresh almond, lemon thyme and eucalyptus on the nose. The palate is round and silky with a real purity of fruit and a fresh, dry finish",2013,Italy,13,https://img.thewhiskyexchange.com/900/wine_ald2017.jpg,1,"25.34,25.33,25.39"
rich & rare,Whiskey,Scotch,,0.47,"The Rich & Rare name appeared on many a whisky bottle long before the New Orleans-based Sazerac Company gained ownership of the brand. It all began with one of the Prohibition era’s most successful Canadian whisky entrepreneurs, Harry Hatch",2018,Canada,400,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_RichRare.png,1,"0.47,0.47,0.47"
BLACK VELVET,Whiskey,Scotch,,6.84,"Black Velvet Whisky is a Canadian whisky brand owned by Constellation Brands. It has a smooth taste and is known for its black labeling. Black Velvet was produced at Schenley Industries in Valleyfield, Quebec, Canada",2015,Canada,400,https://img.thewhiskyexchange.com/540/brbon_bla7.jpg,1,"6.9,6.87,6.84"
Royal Tokaji 2013 6 Puttonyos Aszú Gold Label (Tokaji),Wine,,White,42.59,"luscious apricot, floral honeycomb and fresh pear juice",2013,Tokaji,10,http://www.royal-tokaji.com/wines_enlarged/gold_label.jpg,1,"42.52,42.63,42.59"
Veneto Pinot Grigio,Wine,,White,149.69,A crisp lively wine with a floral bouquet and flavours of ripe tropical fruit and gentle spice. Broiled or grilled seafood and shellfish pair well with this wonderfully balanced dry wine.,2008,Italy,12,AAAAAAAAAAAAAAAAA,1,"150.95,150.43,149.69"
De Grendel Merlot,Wine,Merlot,Red,149.21,This appellation is very special. Its outstanding reds were what first put,2007,Italy,12,https://cdn11.bigcommerce.com/s-0294a/images/stencil/1280x1280/products/1549/7815/De_Grendel_Merlot__79764.1527365653.jpg?c=2&imbypass=on,1,"149.64,149.47,149.21"
ALTA ALELLA LAIETA GRAN RESERVA BRUT NATURE CAVA,Wine,,Red,8.88,"An organic Gran Reserva cava made from Chardonnay, Pinot Noir and Pansa Blanca. The nose has a lovely toasty aroma, with a hint of mushroom and baked apples. This follows through onto the palate with a good zesty note on the finish",2015,Spain,12,https://img.thewhiskyexchange.com/900/spark_alt1.jpg,1,"8.89,8.88,8.88"
WhistlePig The Boss Hog V The Spirit of Mauve Straight Rye Whiskey,Whiskey,Scotch,,32.33,"Like all four previous editions of The Boss Hog, The Spirit of Mauve is a single barrel whiskey, bottled at barrel proof. But this fifth edition is a 13-year straight rye, finished in Calvados apple brandy",2014,Canada,59,https://cdn.shopify.com/s/files/1/0050/2395/7103/products/BHV_BottleImage_TransparentArtboard-1_360x.png?v=1541812092,1,"32.06,32.21,32.33"
SEAGRAM’S 7 CROWN,Whiskey,Bourbon,,29.32,"Seagram''s Seven Crown, also called Seagram''s Seven, is a blended American whiskey produced by Diageo under the Seagram name. Seagram''s beverage division was acquired by Diageo, Pernod Ricard, and The Coca-Cola Company in 2000.",2016,US,400,https://www.haskells.com/media/catalog/product/cache/1/image/816x1200/040ec09b1e35df139433887a97daa66f/1/4/145081_0.jpg,1,"29.22,29.33,29.32"
MAKER’S MARK,Whiskey,Bourbon,,31.9,"Sweet and spicy, Maker’s Mark arguably became the first “premium” whiskey when it launched in 1958, claiming to be easier drinking than other whiskey brands.",2016,US,400,https://cdn11.bigcommerce.com/s-7a906/images/stencil/750x750/products/1371/12717/makers-mark-bourbon-whisky__70535.1522705427.jpg?c=2&imbypass=on,1,"31.91,31.95,31.9"
Pieropan 2015 Calvarino (Soave Classico),Wine,,White,10.4,"heady aromas of white spring wildflower, citrus blossom, layers of lemon drop, ripe apple, juicy pear and tangy mineral notes",2015,Spain,13,http://cdn.shopify.com/s/files/1/0213/9218/products/PI102M14_grande.jpg?v=1506172288,1,"10.48,10.44,10.4"
FitVine Pinot Noir,Wine,Pinot,Red,203.5,This medium to full-bodied wine exhibits the typical Pinot Nero profile of woodsy mushroom and,2009,Italy,12,https://cdn.shopify.com/s/files/1/0917/5854/products/PinotNoir_WEB.jpg?v=1520855915,1,"203.31,202.7,203.5"
Pol Roger 2008 Cuvée Sir Winston Churchill Brut (Champagne),Wine,,White,304.56,"Richness and longevity, ripe fruit and dominance of pinot noir ",2008,France,13,https://p2d7x8x2.stackpathcdn.com/wordpress/wp-content/uploads/2018/10/Cuv%C3%A9e-Churchill-coffret-2008@-1-480x640.jpg,1,"305.49,304.29,304.56"
Kendall-Jackson 2016 Jackson Estate Outland Ridge Pinot Noir (Anderson Valley),Wine,,Red,25.84,"smoked fruit, singed rosemary and black pepper, with a core of deep black-cherry and clove flavors",2016,California,16,https://www.kj.com/sites/default/files/styles/facebook_centered/public/bottle-shots/outland-ridge-pnoir-nv.png?itok=X0G81s7u,1,"25.88,25.94,25.84"
CROWN ROYAL,Whiskey,Scotch,,20.34,"As the name (and its slogan) suggest, Crown Royal is “fit for a king” — and was made for one. The flagship brand, Crown Royal Deluxe, was created in honor of King George VI. Its sales still rule.",2015,Canada,400,https://img.thewhiskyexchange.com/900/brbon_cro1974.jpg,1,"20.31,20.33,20.34"
JOHNNIE WALKER,Whiskey,Scotch,,15.06,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"15,15.06,15.06"
The Macallan-Glenlivet 37 Year Old 1937,Whiskey,Scotch,,8817.16,"A lighter style Macallan with flavors of citrus, vanilla and coconut",1937,Scotland,43,https://img.thewhiskyexchange.com/900/macg!m1937v8.jpg,1,"8809.07,8816.38,8817.16"
Amarone,Wine,,Red,193.2,Amarone originates from the Venitian region of Italy and it is Italy’s fourth biggest selling,2009,Italy,12,https://img.tesco.com/Groceries/pi/731/8006393305731/IDShot_540x540.jpg,1,"193.8,194.14,193.2"
AA BADENHORST SECATEURS CHENIN BLANC,Wine,,White,20.86,"A richly aromatic Chenin Blanc loaded with aromas of stone fruit, honey and orange blossom, as well as heady floral notes and hints of melon and mango. Adi Badenhorst is one of South Africa’s best winemakers and has delivered a wine that shows just how good Chenin Blanc can be.",2015,South Africa,13,https://img.thewhiskyexchange.com/900/wine_bad2018.jpg,1,"20.95,20.93,20.86"
AA BADENHORST WHITE BLEND,Wine,,Red,20.82,"AA Badenhorst White Blend is made with more than 10 varieties including Chenin Blanc, Roussanne, Chardonnay and Semillon, producing a fruit-led wine with a wonderful minerality.",2013,South Africa,14,https://img.thewhiskyexchange.com/900/wine_bad2013.jpg,1,"20.89,20.91,20.82"
ADAMI BOSCO DI GICA PROSECCO,Wine,,White,0.6,"A half bottle of Adami''s Bosco di Gica. This is made predominantly from Glera grapes, with 3-5% Chardonnay; and has notes of apple, peach, blossom and a hint of spice. This is perfect as an aperitif, but can also stand up to light dishes.",2016,Italy,11,https://img.thewhiskyexchange.com/900/spark_ada2.jpg,1,"0.61,0.6,0.6"
ALTA ALELLA DOLC MATARO,Wine,,Red,11.63,"An absolutely delightful sweet red wine that is perfect as a pairing with Chocolate. Produced organically from Mataro - also known as Monastrell, it is packed with jammy fruit, blueberries, cherry, figs and a hint of orange rind",2015,Spain,15,https://img.thewhiskyexchange.com/900/wine_alt2015v1.jpg,1,"11.65,11.64,11.63"
JOHNNIE WALKER black,Whiskey,Scotch,,35.41,A half bottle of Johnnie Walker's massively successful blend. A great mix of whiskies with a hint of smoke to round things off.,2008,US,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"35.36,35.47,35.41"
JOHNNIE WALKER,Whiskey,Scotch,,11.37,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"11.41,11.36,11.37"
dewar's Scotch,Whiskey,Scotch,,56.94,"A little while ago, we were approached by Dewar’s Scotch Whisky asking whether we would be interested in writing about their product in a sponsored post. Considering our fondness for Scotch, and Dewar’s presence as the number one selling Scotch in the US, I accepted the proposal contingent upon a personal review of their products, and they happily obliged.",2007,US,450,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_Dewars.png,1,"57.02,56.96,56.94"
Old Weller Antique 107 Original Wheated Straight Bourbon Whiskey,Whiskey,Bourbon,,0.48,"It has a medium-amber hue, with an aroma of creamy vanilla and roasted nuts. Full-bodied, the bourbon has notes of honeyed fruits, vanilla and caramel that lead to a long and slightly spicy finish.",2018,Canada,450,https://www.lcbo.com/content/dam/lcbo/products/054866.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,1,"0.48,0.48,0.48"
JOHNNIE WALKER red,Whiskey,Scotch,,21.53,"Johnnie Walker Red Label was launched in its current form by brothers George and Alexander Walker in 1909, though it had existed as Walker''s Special Old Highland Red Label for some years previously. ",2007,US,400,https://img.thewhiskyexchange.com/900/blend_joh2.jpg,1,"21.47,21.56,21.53"
ALBERT AHRENS BLACK,Wine,,Red,4.24,"Albert Ahrens is a terroir-driven producer who doesn’t want to talk about the grapes but focus purely on what the land brings to the wine. This is a blend of Southern Rhone varietals, with aromas of cedar wood and spice with a hint of blackcurrant, fig, and violets. The palate is beautifully elegant with silky palate and a cool hint of liquorice.",2016,South Africa,13,https://img.thewhiskyexchange.com/900/wine_ala2015.jpg,1,"4.26,4.24,4.24"
ALDO VIOLA KRIMISO CATARATTO,Wine,,White,21.66,"Passion fruit, clementine, fresh almond, lemon thyme and eucalyptus on the nose. The palate is round and silky with a real purity of fruit and a fresh, dry finish",2013,Italy,13,https://img.thewhiskyexchange.com/900/wine_ald2017.jpg,1,"21.8,21.72,21.66"
ANDRIAN PINOT GRIGIO,Wine,,White,2.36,"A smooth, refined Pinot Grigio from Cantina Andriano, one of the oldest cooperatives in Italy''s Alto Adige. Aromas of pear, white melon and citrus are followed onto the palate, with the long finish displaying spicy apple and tart lemon curd.",2017,Italy,135,https://img.thewhiskyexchange.com/900/wine_and2017.jpg,1,"2.38,2.37,2.36"
JOHNNIE WALKER,Whiskey,Scotch,,15.9,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"15.93,15.86,15.9"
JOHNNIE WALKER,Whiskey,Scotch,,20.36,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"20.3,20.29,20.36"
Château Lafite Rothschild 2015 Pauillac,Wine,,Red,517.58,"Rich, tanic, great authority, dark fruit tones",2015,France,13,https://cdn1.wine-searcher.net/images/labels/13/97/chateau-lafite-rothschild-pauillac-france-10451397.jpg,1,"513.69,516.01,517.58"
Allt-a-Bhainne 2009,Whiskey,Scotch,,66.21,"Cooked fruit taste with hints of chocolate, wood, and smokey coal",2009,Scotland,60,https://www.whisky.com/fileadmin/_processed_/csm_0_5aae96_allta91mm_e233f8849a.jpg,1,"66.34,66.26,66.21"
ADAMI PROSECCO DOC TREVISO GARBEL,Wine,Prosecco,White,5.19,"Garbèl is a Prosecco made with the native Glera grape. Crisp, refreshing and fruity with notes of apple, pear and melon, this makes an excellent aperitif wine, and also matches well with fried fish.",2016,Italy,11,https://img.thewhiskyexchange.com/900/spark_ada1.jpg,1,"5.2,5.19,5.19"
JOHNNIE WALKER sweet peat,Whiskey,Scotch,,20.55,"Too often pitched as opposite extremes on the Scotch whisky flavour spectrum, peat smoke and sweetness can actually work together remarkably well. This fact is exemplified in Sweet Peat from Johnnie Walker, which blends powerful peat and citrus flavours with sweet Speyside character and a luscious sherried note. ",2016,US,408,https://img.thewhiskyexchange.com/900/blend_joh222.jpg,1,"20.5,20.55,20.55"
JOHNNIE WALKER,Whiskey,Scotch,,11.72,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"11.76,11.77,11.72"
JOHNNIE WALKER,Whiskey,Scotch,,14.55,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"14.56,14.54,14.55"
Le Chiuse 2013 Brunello di Montalcino,Wine,,Red,66.12,"Fabrant, vibrant, elegent, intense, juicy marasca cherry",2013,Italy,14,https://www.enotecadipiazza.com/imgitems/1968/le%20chiuse-G.jpg,1,"65.7,66,66.12"
Alpha Omega 2013 Proprietary Red (Napa Valley),Wine,,Red,92.46,"black pepper, garrigue, clove and pencil, intensely robust tannin",2013,California,13,http://library.bevnetwork.com/bottles/500/322868.jpg,1,"92.68,92.62,92.46"
