Name,Type,Category,Color,Price,Description,Year,Region,ABV,Images,quantity,pricedate
Veneto Pinot Grigio,Wine,,White,19900,A crisp lively wine with a floral bouquet and flavours of ripe tropical fruit and gentle spice. Broiled or grilled seafood and shellfish pair well with this wonderfully balanced dry wine.,2008,Italy,12,https://sanjamon.com/media/catalog/product/cache/1/image/1704x1704/9df78eab33525d08d6e5fb8d27136e95/p/i/pinot2.jpg,1,199
Veneto Pinot Grigio,Wine,,White,19900,A crisp lively wine with a floral bouquet and flavours of ripe tropical fruit and gentle spice. Broiled or grilled seafood and shellfish pair well with this wonderfully balanced dry wine.,2008,Italy,12,AAAAAAAAAAAAAAAAA,1,199
Barossa Shiraz,Wine,,Red,12500,"The Barossa Shiraz is opaque purple-colored. Aromas of pencil lead, pepper, violets,",2011,Australia,13,https://www.ocado.com/productImages/368/36839011_0_640x640.jpg?identifier=5eb786402b1a41c843e7887b04510f5f,1,125
Amarone,Wine,,Red,22500,Amarone originates from the Venitian region of Italy and it is Italy’s fourth biggest selling,2009,Italy,12,https://img.tesco.com/Groceries/pi/731/8006393305731/IDShot_540x540.jpg,1,225
Barolo Sant'Orsola,Wine,,Red,19900,"From the Piemonte region of Italy, it is a world famous wine for its complex and robust",2008,Italy,12,https://media-verticommnetwork1.netdna-ssl.com/wines/sant-orsola-barolo-siglati-1311256-s245_p.png,1,199
Red Mountain Style Cabernet Sauvignon,Wine,,Red,15500,"Red Mountain Style Cabernet Sauvignon$225.00
Sunset Ridge Vineyard, Red Mountain, Washington. The vineyards have high calcium carbonate",2009,US,12,AAAAAAAAAAAAAAAAA,1,155
FitVine Pinot Noir,Wine,Pinot,Red,19800,This medium to full-bodied wine exhibits the typical Pinot Nero profile of woodsy mushroom and,2009,Italy,12,https://cdn.shopify.com/s/files/1/0917/5854/products/PinotNoir_WEB.jpg?v=1520855915,1,198
De Grendel Merlot,Wine,Merlot,Red,19900,This appellation is very special. Its outstanding reds were what first put,2007,Italy,12,https://cdn11.bigcommerce.com/s-0294a/images/stencil/1280x1280/products/1549/7815/De_Grendel_Merlot__79764.1527365653.jpg?c=2&imbypass=on,1,199
ADAMI PROSECCO DOC TREVISO GARBEL,Wine,Prosecco,White,1900,"Garbèl is a Prosecco made with the native Glera grape. Crisp, refreshing and fruity with notes of apple, pear and melon, this makes an excellent aperitif wine, and also matches well with fried fish.",2016,Italy,11,https://img.thewhiskyexchange.com/900/spark_ada1.jpg,1,19
A Mano Bianco,Wine,,White,2200,This appellation is very special. Its outstanding reds were what first put,2017,Italy,12,https://img.thewhiskyexchange.com/900/wine_man2017.jpg,1,22
A Mano Rosato,Wine,Rose,Red,2200,"Rhubarb and rose petals on the nose, and on the palate ripe red fruits with a crisp dry finish - ideal for long summer days –  Dawn Davies MW",2017,Italy,12,https://img.thewhiskyexchange.com/900/wine_man2017v1.jpg,1,22
AA BADENHORST SECATEURS CHENIN BLANC,Wine,,White,3200,"A richly aromatic Chenin Blanc loaded with aromas of stone fruit, honey and orange blossom, as well as heady floral notes and hints of melon and mango. Adi Badenhorst is one of South Africa’s best winemakers and has delivered a wine that shows just how good Chenin Blanc can be.",2015,South Africa,13,https://img.thewhiskyexchange.com/900/wine_bad2018.jpg,1,32
AA BADENHORST WHITE BLEND,Wine,,Red,2900,"AA Badenhorst White Blend is made with more than 10 varieties including Chenin Blanc, Roussanne, Chardonnay and Semillon, producing a fruit-led wine with a wonderful minerality.",2013,South Africa,14,https://img.thewhiskyexchange.com/900/wine_bad2013.jpg,1,29
ADAMI BOSCO DI GICA PROSECCO,Wine,,White,1200,"A half bottle of Adami's Bosco di Gica. This is made predominantly from Glera grapes, with 3-5% Chardonnay; and has notes of apple, peach, blossom and a hint of spice. This is perfect as an aperitif, but can also stand up to light dishes.",2016,Italy,11,https://img.thewhiskyexchange.com/900/spark_ada2.jpg,1,12
ALTA ALELLA DOLC MATARO,Wine,,Red,2200,"An absolutely delightful sweet red wine that is perfect as a pairing with Chocolate. Produced organically from Mataro - also known as Monastrell, it is packed with jammy fruit, blueberries, cherry, figs and a hint of orange rind",2015,Spain,15,https://img.thewhiskyexchange.com/900/wine_alt2015v1.jpg,1,22
ALBERT AHRENS BLACK,Wine,,Red,1600,"Albert Ahrens is a terroir-driven producer who doesn’t want to talk about the grapes but focus purely on what the land brings to the wine. This is a blend of Southern Rhone varietals, with aromas of cedar wood and spice with a hint of blackcurrant, fig, and violets. The palate is beautifully elegant with silky palate and a cool hint of liquorice.",2016,South Africa,13,https://img.thewhiskyexchange.com/900/wine_ala2015.jpg,1,16
ALDO VIOLA GUARINI COCCINELLA SYRAH,Wine,,Red,1700,"Deep black fruit, mulberry, cinnamon and violet on the nose; juicy fruit on the palate supported by sweet balsamic and black olive notes",2016,Italy,14,https://img.thewhiskyexchange.com/900/wine_ald2015.jpg,1,17
ALDO VIOLA KRIMISO CATARATTO,Wine,,White,3400,"Passion fruit, clementine, fresh almond, lemon thyme and eucalyptus on the nose. The palate is round and silky with a real purity of fruit and a fresh, dry finish",2013,Italy,13,https://img.thewhiskyexchange.com/900/wine_ald2017.jpg,1,34
Aldo Viola Krimiso Cataratto,Wine,,White,3400,"Passion fruit, clementine, fresh almond, lemon thyme and eucalyptus on the nose. The palate is round and silky with a real purity of fruit and a fresh, dry finish",2013,Italy,13,https://img.thewhiskyexchange.com/900/wine_ald2017.jpg,1,34
ALTA ALELLA LAIETA GRAN RESERVA BRUT NATURE CAVA,Wine,,Red,2200,"An organic Gran Reserva cava made from Chardonnay, Pinot Noir and Pansa Blanca. The nose has a lovely toasty aroma, with a hint of mushroom and baked apples. This follows through onto the palate with a good zesty note on the finish",2015,Spain,12,https://img.thewhiskyexchange.com/900/spark_alt1.jpg,1,22
ALTAVIA ROSSESE DI DOLCEACQUA SUPERIORE RISERVA,Wine,,Red,2500,"Dolceacqua's signature grape is Rossese, a grape that originated in France as Tibouren. Altavia is one of the top producers of this little-known varietal. On the nose there are notes of tar and savoury spices, with a sprinkle of thyme and rosemary. These flavours come through on the palate, layered on top of dried cherry and Lapsang Souchong with leather and liquorice. A wine for veal chops or a lasagne, either vegetarian or meat-based",2012,Italy,135,https://img.thewhiskyexchange.com/900/wine_alt2012.jpg,1,25
ALTOS LAS HORMIGAS,Wine,,Red,1400,"Altos Las Hormigas Malbec Terroir is made from grapes grown in the Uco Valley. This has notes of cherry, plum, fig and violet. This will be an excellent match for beef.",2016,Argentina,135,https://img.thewhiskyexchange.com/900/wine_alt2016.jpg,1,14
ANDRIAN PINOT GRIGIO,Wine,,White,1400,"A smooth, refined Pinot Grigio from Cantina Andriano, one of the oldest cooperatives in Italy's Alto Adige. Aromas of pear, white melon and citrus are followed onto the palate, with the long finish displaying spicy apple and tart lemon curd.",2017,Italy,135,https://img.thewhiskyexchange.com/900/wine_and2017.jpg,1,14
ANIELLO BLANCO DE PINOT NOIR,Wine,,White,1600,"On the nose, this has notes of apple crumble and a herbaceous note, with mandarin and red fruits on the palate and a hint of nutmeg on the finish",2017,Argentina,130,https://img.thewhiskyexchange.com/900/wine_ani2017v1.jpg,1,16
ANIELLO MAINQUE TROUSSEAU,Wine,,White,1600,"Hints of fig and leather with strawberry, black pepper and sandalwood. The palate is divine; cigar box, ripe orchard fruits, autumn leaves and great structure. A wine that will defy expectation.",2015,Argentina,135,https://img.thewhiskyexchange.com/900/wine_ani2015v2.jpg,1,16
rich & rare,Whiskey,Scotch,,900,"The Rich & Rare name appeared on many a whisky bottle long before the New Orleans-based Sazerac Company gained ownership of the brand. It all began with one of the Prohibition era’s most successful Canadian whisky entrepreneurs, Harry Hatch",2018,Canada,400,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_RichRare.png,1,9
Kessler,Whiskey,Bourbon,,1200,"Kessler Whiskey is an American brand of blended whiskey started by Julius Kessler in 1888. It is known for the slogan, ""Smooth as Silk"". The brand is currently owned and produced by Beam Suntory",2015,Kentucky,46,https://img.thewhiskyexchange.com/900/wine_ani2015v2.jpg,1,19
Blanton's,Whiskey,Bourbon,,300,"A deep, satisfying nose of nutmeg and spices. Powerful dry vanilla notes in harmony with hints of honey amid strong caramel and corn. A medium finish composed of returning corn and nutmeg flavors.",2016,US,450,https://products1.imgix.drizly.com/ci-blantons-single-barrel-bourbon-f27c3cae7eeaa8b9.png?auto=format%2Ccompress&fm=jpeg&q=20,1,25
dewar's Scotch,Whiskey,Scotch,,6800,"A little while ago, we were approached by Dewar’s Scotch Whisky asking whether we would be interested in writing about their product in a sponsored post. Considering our fondness for Scotch, and Dewar’s presence as the number one selling Scotch in the US, I accepted the proposal contingent upon a personal review of their products, and they happily obliged.",2007,US,450,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_Dewars.png,1,68
Eagle Rare 17 Year,Whiskey,Bourbon,,1500,"""THIS DEEP, BURNISHED-GOLD WHISKEY HAS A SOMEWHAT FRAGRANT NOSE AND THE AROMAS DEVELOP AN ALMOST WINE-LIKE CHARACTER, WITH A HINT OF ALMONDS LURKING IN THE BACKDROP. THE BODY IS BIG AND SILKY AND THE PALATE IS FAR SPICIER THAN THE NOSE LEADS YOU TO BELIEVE, BUT THERE ARE ALSO VIOLET NOTES HERE, ALONG WITH A TOUCH OF CARAMEL AND A HINT OF OLD LEATHER. THE FINISH IS VERY LEATHERY AND VERY LONG.""",2018,Kentucky,50,https://cdn.shopify.com/s/files/1/0566/6837/products/Eagle_17_grande.png?v=1445874097,1,15
"WhistlePig The Boss Hog V ""The Spirit of Mauve"" Straight Rye Whiskey",Whiskey,Scotch,,550,"Like all four previous editions of The Boss Hog, The Spirit of Mauve is a single barrel whiskey, bottled at barrel proof. But this fifth edition is a 13-year straight rye, finished in Calvados apple brandy",2014,Canada,59,https://cdn.shopify.com/s/files/1/0050/2395/7103/products/BHV_BottleImage_TransparentArtboard-1_360x.png?v=1541812092,1,35
SOUTHERN COMFORT,Whiskey,Scotch,,2500,"For many years, Southern Comfort was a flavored liqueur with nary a trace of whiskey. It’s come a long way since Sazerac bought the brand from Brown-Forman in 2016. Today, the whiskey-based liqueur is still flavored with fruit and spice, but has a little more street cred.",2015,US,400,https://www.lcbo.com/content/dam/lcbo/products/491811.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,1,25
BULLEIT BOURBON,Whiskey,Bourbon,,900,"With more rye in its malt bill and more booze in its bonnet, this 90 proof (45 percent ABV) bourbon continues to please American palates in a big way. Currently owned by Diageo, the Bulleit of today launched in 1987, but its history goes back to 1830, when current co-owner Thomas Bulleit’s great-grandfather, Augustus, bottled his first batch.",2018,Canada,450,https://www.lcbo.com/content/dam/lcbo/products/054866.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,1,9
WILD TURKEY BOURBON,Whiskey,Bourbon,,3500,"An 81 proof (40.5%ABV) bourbon crafted by Wild Turkey associate distiller Eddie Russell, son of master distiller Jimmy. It's a high rye mash matured in heavily charred casks for big flavour at a more approachable ABV than the 101.",2014,US,405,https://img.thewhiskyexchange.com/900/brbon_wil25.jpg,1,35
JOHNNIE WALKER black,Whiskey,Scotch,,2600,A half bottle of Johnnie Walker's massively successful blend. A great mix of whiskies with a hint of smoke to round things off.,2008,US,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER red,Whiskey,Scotch,,3300,"Johnnie Walker Red Label was launched in its current form by brothers George and Alexander Walker in 1909, though it had existed as Walker's Special Old Highland Red Label for some years previously. ",2007,US,400,https://img.thewhiskyexchange.com/900/blend_joh2.jpg,1,33
JOHNNIE WALKER sweet peat,Whiskey,Scotch,,3500,"Too often pitched as opposite extremes on the Scotch whisky flavour spectrum, peat smoke and sweetness can actually work together remarkably well. This fact is exemplified in Sweet Peat from Johnnie Walker, which blends powerful peat and citrus flavours with sweet Speyside character and a luscious sherried note. ",2016,US,408,https://img.thewhiskyexchange.com/900/blend_joh222.jpg,1,35
jack daniel's,Whiskey,Brandy,Fdewars,2600,"The fifth edition of Jack Daniel's range of whiskey's honouring the company's master blenders. The fifth edition takes us all the way to the 1970s, and is bottled for the excellently named Frank Bobo. He helped build Jack Daniel's reputations through both the 70s and 80s, helping it to become the worldwide powerhouse it is today.",2016,US,400,https://img.thewhiskyexchange.com/900/brbon_jac183.jpg,1,26
BLACK VELVET,Whiskey,Scotch,,1900,"Black Velvet Whisky is a Canadian whisky brand owned by Constellation Brands. It has a smooth taste and is known for its black labeling. Black Velvet was produced at Schenley Industries in Valleyfield, Quebec, Canada",2015,Canada,400,https://img.thewhiskyexchange.com/540/brbon_bla7.jpg,1,19
 EVAN WILLIAMS,Whiskey,Bourbon,,2700,"Evan Williams is a brand of Kentucky straight bourbon whiskey bottled in Bardstown, Kentucky, by the Heaven Hill company. The product is aged for a minimum of four years. It has been ranked as one of the world's best selling whiskey brands.",2015,US,400,https://bigbarrel.co.nz/content/images/thumbs/0008288.jpeg,1,27
SEAGRAM’S 7 CROWN,Whiskey,Bourbon,,2600,"Seagram's Seven Crown, also called Seagram's Seven, is a blended American whiskey produced by Diageo under the Seagram name. Seagram's beverage division was acquired by Diageo, Pernod Ricard, and The Coca-Cola Company in 2000.",2016,US,400,https://www.haskells.com/media/catalog/product/cache/1/image/816x1200/040ec09b1e35df139433887a97daa66f/1/4/145081_0.jpg,1,26
MAKER’S MARK,Whiskey,Bourbon,,3500,"Sweet and spicy, Maker’s Mark arguably became the first “premium” whiskey when it launched in 1958, claiming to be easier drinking than other whiskey brands.",2016,US,400,https://cdn11.bigcommerce.com/s-7a906/images/stencil/750x750/products/1371/12717/makers-mark-bourbon-whisky__70535.1522705427.jpg?c=2&imbypass=on,1,35
jim beam,Whiskey,Scotch,,2900,"Jim Beam is a brand of bourbon whiskey produced in Clermont, Kentucky, by Beam Suntory, a subsidiary of Suntory Holdings of Osaka, Japan. It is one of the best-selling brands of bourbon in the world",2016,US,400,https://img.thewhiskyexchange.com/900/brbon_jim1.jpg,1,29
FIREBALL CINNAMON,Whiskey,Scotch,,2900,"Despite the fact that Fireball is not technically whiskey, and despite being recalled in Europe in 2014 for an antifreeze-adjacent ingredient scare, Fireball is burned into the top five as the No. 3 whiskey in America.",2016,Canada,400,https://www.haskells.com/media/catalog/product/cache/1/image/816x1200/040ec09b1e35df139433887a97daa66f/1/6/165273_0_1_1.jpg,1,29
CROWN ROYAL,Whiskey,Scotch,,2600,"As the name (and its slogan) suggest, Crown Royal is “fit for a king” — and was made for one. The flagship brand, Crown Royal Deluxe, was created in honor of King George VI. Its sales still rule.",2015,Canada,400,https://img.thewhiskyexchange.com/900/brbon_cro1974.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
JOHNNIE WALKER,Whiskey,Scotch,,2600,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,26
